Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotConfig,Neighborhood,YearBuilt,RoofStyle,RoofMatl,MasVnrArea,Foundation,BsmtExposure,HeatingQC,CentralAir,GrLivArea,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageCars,SaleType,SalePrice,Has_Alley,Artery,Feedr,RRNn,RRAn,PosN,PosA,RRNe,RRAe,1Fam_BldgType,Overall_Total,BrkCmnArea,BrkFaceArea,StoneArea,Exter_Total,Bsmt_Total,Has_BsmtFin,BsmtFinSF_Total,SF_QualFinished,SF_Total,Bath,Garage_Total,Has_WoodDeck,Has_OpenPorch,Has_EnclosedPorch,Has_3SsnPorch,Has_ScreenPorch,Has_PorchOrDeck,Has_Pool,Has_Fence,Has_Shed,Post_Collapse
1,60,RL,65,8450,Pave,Inside,CollgCr,2003,Gable,CompShg,196,PConc,No,Ex,Y,1710,1,Gd,Typ,0,2,WD,208500,0,0,0,0,0,0,0,0,0,1,12,0,196,0,12,12,1,706,2416,2566,3.5,10,0,1,0,0,0,1,0,0,0,0
2,20,RL,80,9600,Pave,FR2,Veenker,1976,Gable,CompShg,0,CBlock,Gd,Ex,Y,1262,1,TA,Typ,1,2,WD,181500,0,0,1,0,0,0,0,0,0,1,14,0,0,0,10,12,1,978,2240,2524,2.5,10,1,0,0,0,0,1,0,0,0,0
3,60,RL,68,11250,Pave,Inside,CollgCr,2001,Gable,CompShg,162,PConc,Mn,Ex,Y,1786,1,Gd,Typ,1,2,WD,223500,0,0,0,0,0,0,0,0,0,1,12,0,162,0,12,12,1,486,2272,2706,3.5,10,0,1,0,0,0,1,0,0,0,0
4,70,RL,60,9550,Pave,Corner,Crawfor,1915,Gable,CompShg,0,BrkTil,No,Gd,Y,1717,1,Gd,Typ,1,3,WD,140000,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,12,1,216,1933,2473,2,10,0,1,1,0,0,1,0,0,0,0
5,60,RL,84,14260,Pave,FR2,NoRidge,2000,Gable,CompShg,350,PConc,Av,Ex,Y,2198,1,Gd,Typ,1,3,WD,250000,0,0,0,0,0,0,0,0,0,1,13,0,350,0,12,12,1,655,2853,3343,3.5,10,1,1,0,0,0,1,0,0,0,0
6,50,RL,85,14115,Pave,Inside,Mitchel,1993,Gable,CompShg,0,Wood,No,Ex,Y,1362,1,TA,Typ,0,2,WD,143000,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,12,1,732,2094,2158,2.5,10,1,1,0,1,0,1,0,1,1,1
7,20,RL,75,10084,Pave,Inside,Somerst,2004,Gable,CompShg,186,PConc,Av,Ex,Y,1694,1,Gd,Typ,1,2,WD,307000,0,0,0,0,0,0,0,0,0,1,13,0,0,186,12,14,1,1369,3063,3380,3,10,1,1,0,0,0,1,0,0,0,0
8,60,RL,NA,10382,Pave,Corner,NWAmes,1973,Gable,CompShg,240,CBlock,Mn,Ex,Y,2090,1,TA,Typ,2,2,WD,200000,0,0,0,0,0,1,0,0,0,1,13,0,0,240,10,12,1,891,2981,3197,3.5,10,1,1,1,0,0,1,0,0,1,1
9,50,RM,51,6120,Pave,Inside,OldTown,1931,Gable,CompShg,0,BrkTil,No,Gd,Y,1774,2,TA,Min1,2,2,WD,129900,0,1,0,0,0,0,0,0,0,1,12,0,0,0,10,10,0,0,1774,2726,2,8,1,0,1,0,0,1,0,0,0,0
10,190,RL,50,7420,Pave,Corner,BrkSide,1939,Gable,CompShg,0,BrkTil,No,Ex,Y,1077,2,TA,Typ,2,1,WD,118000,0,1,0,0,0,0,0,0,0,0,11,0,0,0,10,10,1,851,1928,2068,2,12,0,1,0,0,0,1,0,0,0,0
11,20,RL,70,11200,Pave,Inside,Sawyer,1965,Hip,CompShg,0,CBlock,No,Ex,Y,1040,1,TA,Typ,0,1,WD,129500,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,10,1,906,1946,2080,2,10,0,0,0,0,0,0,0,0,0,0
12,60,RL,85,11924,Pave,Inside,NridgHt,2005,Hip,CompShg,286,PConc,No,Ex,Y,2324,1,Ex,Typ,2,3,New,345000,0,0,0,0,0,0,0,0,0,1,14,0,0,286,14,14,1,998,3322,3499,4,10,1,1,0,0,0,1,0,0,0,0
13,20,RL,NA,12968,Pave,Inside,Sawyer,1962,Hip,CompShg,0,CBlock,No,TA,Y,912,1,TA,Typ,0,1,WD,144000,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,1,737,1649,1824,2,10,1,0,0,0,1,1,0,0,0,0
14,20,RL,91,10652,Pave,Inside,CollgCr,2006,Gable,CompShg,306,PConc,Av,Ex,Y,1494,1,Gd,Typ,1,3,New,279500,0,0,0,0,0,0,0,0,0,1,12,0,0,306,12,12,0,0,1494,2988,2,10,1,1,0,0,0,1,0,0,0,0
15,20,RL,NA,10920,Pave,Corner,NAmes,1960,Hip,CompShg,212,CBlock,No,TA,Y,1253,1,TA,Typ,1,1,WD,157000,0,0,0,0,0,0,0,0,0,1,11,0,212,0,10,10,1,733,1986,2506,2.5,10,0,1,1,0,0,1,0,1,0,0
16,45,RM,51,6120,Pave,Corner,BrkSide,1929,Gable,CompShg,0,BrkTil,No,Ex,Y,854,1,TA,Typ,0,2,WD,132000,0,0,0,0,0,0,0,0,0,1,15,0,0,0,10,10,0,0,854,1686,1,10,1,1,0,0,0,1,0,1,0,0
17,20,RL,NA,11241,Pave,CulDSac,NAmes,1970,Gable,CompShg,180,CBlock,No,Ex,Y,1004,1,TA,Typ,1,2,WD,149000,0,0,0,0,0,0,0,0,0,1,13,0,180,0,10,10,1,578,1582,2008,2,10,0,0,0,0,0,0,0,0,1,1
18,90,RL,72,10791,Pave,Inside,Sawyer,1967,Gable,CompShg,0,Slab,NA,TA,Y,1296,2,TA,Typ,0,2,WD,90000,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,1296,1296,2,10,0,0,0,0,0,0,0,0,1,0
19,20,RL,66,13695,Pave,Inside,SawyerW,2004,Gable,CompShg,0,PConc,No,Ex,Y,1114,1,Gd,Typ,0,2,WD,159000,0,0,0,0,0,0,0,0,1,1,10,0,0,0,10,10,1,646,1760,2228,2.5,10,0,1,0,0,0,1,0,0,0,0
20,20,RL,70,7560,Pave,Inside,NAmes,1958,Hip,CompShg,0,CBlock,No,TA,Y,1339,1,TA,Min1,0,1,COD,139000,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,1,504,1843,2368,1,10,0,0,0,0,0,0,0,1,0,1
21,60,RL,101,14215,Pave,Corner,NridgHt,2005,Gable,CompShg,380,PConc,Av,Ex,Y,2376,1,Gd,Typ,1,3,New,325300,0,0,0,0,0,0,0,0,0,1,13,0,380,0,12,14,0,0,2376,3534,3.5,10,1,1,0,0,0,1,0,0,0,0
22,45,RM,57,7449,Pave,Inside,IDOTRR,1930,Gable,CompShg,0,PConc,No,Ex,Y,1108,1,Gd,Typ,1,1,WD,139400,1,0,0,0,0,0,0,0,0,1,14,0,0,0,10,10,0,0,1108,1745,1,10,0,0,1,0,0,1,0,1,0,0
23,20,RL,75,9742,Pave,Inside,CollgCr,2002,Hip,CompShg,281,PConc,No,Ex,Y,1795,1,Gd,Typ,1,2,WD,230000,0,0,0,0,0,0,0,0,0,1,13,0,281,0,12,12,0,0,1795,3572,2,10,1,1,0,0,0,1,0,0,0,0
24,120,RM,44,4224,Pave,Inside,MeadowV,1976,Gable,CompShg,0,PConc,No,TA,Y,1060,1,TA,Typ,1,2,WD,129900,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,12,1,840,1900,2100,2,10,1,1,0,0,0,1,0,0,0,0
25,20,RL,NA,8246,Pave,Inside,Sawyer,1968,Gable,CompShg,0,CBlock,Mn,Ex,Y,1060,1,Gd,Typ,1,1,WD,154000,0,0,0,0,0,0,0,0,0,1,13,0,0,0,12,10,1,856,1916,2120,2,10,1,1,0,0,0,1,0,1,0,1
26,20,RL,110,14230,Pave,Corner,NridgHt,2007,Gable,CompShg,640,PConc,No,Ex,Y,1600,1,Gd,Typ,1,3,WD,256300,0,0,0,0,0,0,0,0,0,1,13,0,0,640,12,12,0,0,1600,3166,2,10,0,1,0,0,0,1,0,0,0,1
27,20,RL,60,7200,Pave,Corner,NAmes,1951,Gable,CompShg,0,CBlock,Mn,TA,Y,900,1,Gd,Typ,0,2,WD,134800,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,10,1,720,1620,1800,1.5,10,1,1,0,0,0,1,0,0,0,1
28,20,RL,98,11478,Pave,Inside,NridgHt,2007,Gable,CompShg,200,PConc,No,Ex,Y,1704,1,Gd,Typ,1,3,WD,306000,0,0,0,0,0,0,0,0,0,1,13,0,0,200,12,14,1,1218,2922,3408,3,10,0,1,0,0,0,1,0,0,0,1
29,20,RL,47,16321,Pave,CulDSac,NAmes,1957,Gable,CompShg,0,CBlock,Gd,TA,Y,1600,1,TA,Typ,2,1,WD,207500,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,1,1277,2877,3084,2,10,1,1,0,0,0,1,0,0,0,0
30,30,RM,60,6324,Pave,Inside,BrkSide,1927,Gable,CompShg,0,BrkTil,No,Fa,N,520,1,Fa,Typ,0,1,WD,68500,0,0,1,1,0,0,0,0,0,1,10,0,0,0,10,10,0,0,520,1040,1,8,1,0,1,0,0,1,0,0,0,0
31,70,C (all),50,8500,Pave,Inside,IDOTRR,1920,Gambrel,CompShg,0,BrkTil,No,TA,N,1317,1,TA,Typ,0,1,WD,40000,1,0,1,0,0,0,0,0,0,1,8,0,0,0,8,10,0,0,1317,1966,1,8,0,1,1,0,0,1,0,1,0,0
32,20,RL,NA,8544,Pave,CulDSac,Sawyer,1966,Gable,CompShg,0,CBlock,No,Gd,Y,1228,1,Gd,Typ,0,1,WD,149350,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,0,0,1228,2456,1.5,10,0,1,0,0,0,1,0,1,0,0
